,Fairness Metric,Fairness Metric,Compatibility,Compatibility,Allocation,Allocation,Allocation,Results,Results,nDCG,Exposure,Exposure
,0,1,0,1,0,1,none,In,Out,All,0,1
0,1.0,1.0,,,0.0,0.0,1,"[('467', 15.714496371613212), ('235', 12.26206913934443), ('34', 11.82509748868274), ('377', 11.529263102336957), ('204', 9.819444830556606), ('448', 9.419458683568404), ('948', 8.607814352361885), ('100', 8.154417454682061), ('634', 7.920625642814158), ('139', 7.8854563307236765), ('518', 7.854997957044075), ('201', 7.82880670962651), ('446', 7.7497914321985615), ('418', 7.372753376475442), ('379', 7.269962581595164), ('999', 7.021406189200234), ('564', 6.773389053059128), ('743', 6.73447862127364), ('602', 6.554227923952189), ('801', 6.422337288884801), ('86', 6.226186024970557), ('343', 6.2074058988562575), ('943', 6.17699781553122), ('402', 6.15100840525586), ('712', 6.1015033320686625), ('631', 5.9886967939313145), ('89', 5.738914862238987), ('361', 5.693370700171615), ('811', 5.634018278657599), ('756', 5.575375241724642), ('186', 5.492726029281354), ('582', 5.465581942924008), ('260', 5.306427874445322), ('52', 5.167603689835358), ('63', 4.948082070973754), ('759', 4.751826429495422), ('842', 4.684987914160903), ('799', 4.630596925632259), ('359', 4.467580905723608), ('635', 4.393777027878523), ('60', 4.338722814672472), ('553', 4.291480658678342), ('154', 4.285474145822468), ('146', 4.0953328944968606), ('415', 4.0881825506999725), ('269', 4.067956548851055), ('490', 4.028835684944684), ('732', 3.9526876461376284), ('555', 3.8835157260438633), ('886', 3.730696394437464)]","[('467', 49.0), ('235', 48.0), ('34', 47.0), ('377', 46.0), ('204', 45.0), ('448', 44.0), ('948', 43.0), ('100', 42.0), ('634', 41.0), ('139', 40.0)]",1.0,0.0,0.1
1,0.0,0.25,,,1.0,0.0,1,"[('963', 14.614642471090715), ('103', 14.204324262352996), ('235', 12.814645323018627), ('204', 11.12122113790435), ('940', 10.365112962645565), ('157', 9.939018061780168), ('379', 9.774552471067306), ('724', 9.692988603761064), ('836', 9.07836875070739), ('471', 8.799975515598321), ('97', 8.64664459785441), ('493', 8.471750274010116), ('844', 8.338145184489063), ('475', 8.267601622771492), ('281', 7.939913334209258), ('720', 6.838027971899795), ('343', 6.722504675298796), ('722', 6.700982952024271), ('950', 6.442493071194412), ('89', 6.0541189695644695), ('298', 5.95410590902812), ('413', 5.860110226499764), ('185', 5.765940206564008), ('332', 5.694653626394287), ('438', 5.667083781160343), ('960', 5.317550955579819), ('476', 5.307186384950897), ('601', 5.243178552936392), ('528', 5.2088922885791655), ('819', 5.184522675586438), ('42', 5.080954188207098), ('38', 5.011660176756946), ('84', 4.604573686965035), ('166', 4.443997872154373), ('520', 4.392316212526882), ('29', 4.27263990281235), ('519', 4.266322107168239), ('269', 4.080306124073781), ('992', 4.005519178384657), ('102', 3.9558044488668442), ('322', 3.940005107252116), ('385', 3.907825535722059), ('47', 3.8372971569226264), ('768', 3.727730653726143), ('786', 3.704162863644683), ('635', 3.6141100995355133), ('742', 3.6081279585711887), ('174', 3.4459659566029663), ('731', 3.434716154764105), ('153', 3.418234966852664)]","[('379', 47.0), ('963', 45.0), ('493', 44.666666666666664), ('103', 44.0), ('235', 43.0), ('720', 42.666666666666664), ('204', 42.0), ('940', 41.0), ('157', 40.0), ('724', 38.666666666666664)]",0.6825923077845446,0.3,0.2
2,0.7499999999999999,0.37499999999999994,,,0.0,1.0,1,"[('467', 14.577049496890579), ('963', 13.254820300628483), ('578', 12.881570989120753), ('169', 11.168757006351195), ('745', 11.093374660136343), ('940', 10.109424046635764), ('938', 9.768246315251092), ('610', 8.791050561715371), ('823', 8.386491968780204), ('787', 8.289737904800347), ('634', 8.125323592130874), ('219', 8.06929285776538), ('326', 7.963759585450023), ('233', 7.765659133380934), ('482', 7.7058412265154566), ('561', 7.446963094755007), ('518', 7.325740814849037), ('488', 7.259662665105544), ('418', 7.1808062991641535), ('446', 6.889459720295951), ('89', 6.854992961330698), ('564', 6.748693335948286), ('700', 6.4245732395191695), ('631', 6.206986795530198), ('720', 6.061864033508675), ('542', 6.036778401012608), ('950', 6.036217609108042), ('411', 6.032693449081312), ('158', 5.9948733820789), ('166', 5.736266757124282), ('359', 5.6529778340400645), ('260', 5.557345898141146), ('819', 5.4060096166296985), ('644', 5.3564325109822715), ('763', 5.258745734863856), ('811', 5.183499240658078), ('799', 5.103434510460054), ('684', 4.9251740500215995), ('865', 4.758809178998224), ('528', 4.714204492564382), ('435', 4.4276564437612915), ('851', 4.4256565563198915), ('443', 4.342148208211335), ('262', 4.247379720574561), ('84', 4.246716707952432), ('739', 4.216765915514684), ('385', 4.006042835285055), ('153', 3.9749039859903643), ('78', 3.9170597146239308), ('232', 3.9119824928573377)]","[('963', 48.666666666666664), ('467', 48.333333333333336), ('578', 47.0), ('169', 46.0), ('745', 45.0), ('940', 44.0), ('938', 43.0), ('610', 42.0), ('823', 41.0), ('787', 40.0)]",0.8545991937963928,0.0,0.1
3,0.5,0.3333333333333333,,,0.0,1.0,1,"[('231', 16.563251932945324), ('578', 12.812694395524877), ('563', 10.45150739134746), ('745', 10.011706062379607), ('34', 9.703192177983668), ('789', 9.455255475429118), ('940', 9.417055905602231), ('157', 8.692655487333518), ('610', 8.654228826696793), ('542', 8.472384370000125), ('381', 8.032673141338254), ('609', 7.559055957857848), ('446', 7.489653034019128), ('747', 7.307414589064972), ('233', 7.256766732842086), ('246', 7.071260016669243), ('139', 6.807636281773649), ('801', 6.690598619940089), ('572', 6.562979360027285), ('411', 6.394772266000378), ('808', 6.308450627420644), ('785', 6.230921401733571), ('314', 5.859771633965879), ('824', 5.827071015503892), ('735', 5.775036679328407), ('537', 5.730941172287343), ('336', 5.724891340411839), ('260', 5.4304485533477305), ('763', 5.146152822396096), ('176', 4.9869140672083905), ('185', 4.9670469712269485), ('42', 4.8415629652650845), ('105', 4.840843109780467), ('107', 4.81240172372588), ('602', 4.807449422495236), ('865', 4.773104907527463), ('759', 4.7519344494899105), ('425', 4.709667229678986), ('186', 4.537064775905982), ('402', 4.524123475877054), ('627', 4.3244465601930795), ('559', 4.274985485750282), ('612', 4.258262908746173), ('622', 4.251109864064845), ('857', 4.2399901332563035), ('395', 4.163646621543387), ('533', 3.8715883235347994), ('582', 3.859932988890667), ('232', 3.8170601997460674), ('198', 3.695279681629148)]","[('231', 49.0), ('578', 48.0), ('563', 47.0), ('745', 46.0), ('34', 45.0), ('789', 44.0), ('940', 43.0), ('157', 42.0), ('610', 41.0), ('542', 40.0)]",1.0,0.1,0.1
4,0.5,0.3125,,,0.0,1.0,1,"[('963', 15.676379698340046), ('467', 15.40753369627988), ('103', 14.652683513882817), ('965', 14.445270052125375), ('849', 10.485969555683509), ('980', 10.390196635003019), ('381', 10.376278500929363), ('610', 9.923373117736908), ('727', 9.415034698480031), ('157', 9.412010803566249), ('85', 9.271670268277319), ('551', 9.108746445812349), ('100', 9.04197504604855), ('464', 8.896875293689623), ('550', 8.22645671753345), ('824', 7.955185346441466), ('835', 7.7670604523418385), ('388', 7.6489830972525725), ('999', 7.216717767639824), ('281', 6.906246755237783), ('89', 6.780402345682544), ('96', 6.6916649599155456), ('898', 6.471466929048499), ('808', 6.149435750938602), ('970', 6.059857114841163), ('785', 6.017122145131757), ('425', 5.951501857550173), ('704', 5.74889264468013), ('795', 5.604438086917971), ('21', 5.442245352355696), ('319', 5.44006403017669), ('562', 5.3330658834770555), ('402', 5.293468037946644), ('63', 5.260614556119011), ('51', 5.102925530621615), ('960', 5.033488628439076), ('106', 4.996468791737852), ('735', 4.964433368033615), ('756', 4.686741961025704), ('29', 4.6824189946093195), ('825', 4.396146767087256), ('295', 4.292382246643964), ('674', 3.9989451342100106), ('435', 3.9914493722385185), ('759', 3.932276294331106), ('768', 3.8884155501652238), ('443', 3.7372590875946092), ('60', 3.6685278644360184), ('936', 3.662785542287507), ('645', 3.4656589822680393)]","[('963', 49.0), ('467', 47.333333333333336), ('980', 46.666666666666664), ('103', 46.333333333333336), ('965', 45.333333333333336), ('849', 44.333333333333336), ('381', 43.0), ('610', 42.0), ('727', 41.0), ('157', 40.0)]",0.9749735742426423,0.0,0.2
5,0.39999999999999997,0.35000000000000003,,,0.0,1.0,1,"[('789', 11.184839555307148), ('282', 10.314601793266489), ('610', 10.012356681877808), ('938', 9.040046542639542), ('446', 8.73523224470769), ('526', 8.682467481833035), ('258', 8.047116029892763), ('14', 7.980022146743091), ('388', 7.813929565237012), ('233', 7.562769555179375), ('139', 7.525482626307137), ('996', 7.398355910605928), ('379', 7.236609772892785), ('898', 6.952791614590151), ('718', 6.8294650278091975), ('355', 6.740798171632026), ('260', 6.156122472352073), ('756', 5.96223983384929), ('737', 5.833647349602802), ('66', 5.751263709074526), ('631', 5.589896463541339), ('866', 5.523268726174267), ('315', 5.48680380245572), ('190', 5.329841069753016), ('416', 5.212051177228751), ('950', 5.1538137963557356), ('589', 5.1304882438982125), ('45', 4.982131892810287), ('52', 4.859810556015625), ('588', 4.674901148389995), ('359', 4.571835232854588), ('7', 4.508997088075239), ('768', 4.414775556152729), ('395', 4.357458709775296), ('218', 4.217981483568461), ('579', 3.9180445874165186), ('555', 3.8491060220921782), ('269', 3.8372226670658782), ('990', 3.7329560961056596), ('974', 3.6068436958726706), ('617', 3.5816771049924268), ('490', 3.4947667827297266), ('909', 3.4735307603290457), ('840', 3.4367055780836813), ('116', 3.3220005227542324), ('147', 3.291344677864538), ('29', 3.2135022517215295), ('627', 3.1589835152946923), ('692', 2.9377486503991594), ('338', 2.8945298307124907)]","[('789', 47.666666666666664), ('282', 46.666666666666664), ('610', 45.666666666666664), ('938', 44.666666666666664), ('446', 43.666666666666664), ('526', 42.666666666666664), ('258', 41.666666666666664), ('416', 41.0), ('14', 40.666666666666664), ('589', 39.666666666666664)]",0.9766925747814281,0.0,0.2
6,0.3333333333333333,0.37499999999999994,,,1.0,0.0,1,"[('467', 14.906535208428817), ('205', 10.647059975557049), ('239', 9.801916471907786), ('836', 9.320018802206596), ('931', 8.998647152437748), ('88', 8.927400825141435), ('204', 8.897221991701514), ('901', 8.78849529844766), ('980', 8.457776649287553), ('551', 8.204340776100382), ('246', 7.821570224603767), ('948', 7.79593990078071), ('724', 7.68243905242615), ('97', 7.540252362556876), ('464', 7.51313362958697), ('564', 7.474708231439502), ('475', 7.437285995177291), ('557', 7.363519112685219), ('747', 7.355814833014442), ('466', 7.309768495547164), ('835', 7.149413778255955), ('176', 6.668367302448501), ('105', 6.537086436308126), ('999', 6.25656479759077), ('743', 5.986936115898466), ('919', 5.733345671217545), ('865', 5.4620519129768725), ('830', 5.399592544972445), ('47', 5.330022290034817), ('471', 5.296780876560351), ('739', 5.2192783209924665), ('519', 5.205719315467277), ('614', 5.156605465539448), ('737', 4.937137436742591), ('29', 4.790804325511879), ('735', 4.654354828102754), ('190', 4.5843508068563), ('650', 4.365071531546388), ('843', 4.1975461174923225), ('474', 4.1516184723165805), ('781', 4.103054721717985), ('52', 3.9825201400477983), ('321', 3.946023802199948), ('294', 3.8788191207414826), ('42', 3.7885772999050027), ('587', 3.7502418195620524), ('617', 3.531296602728429), ('300', 3.4394842757245057), ('395', 3.354014255174121), ('340', 3.298372672176956)]","[('467', 49.0), ('205', 48.0), ('239', 47.0), ('836', 46.0), ('931', 45.0), ('88', 44.0), ('204', 43.0), ('901', 42.0), ('980', 41.0), ('551', 40.0)]",1.0,0.0,0.2
7,0.2857142857142857,0.39285714285714285,,,1.0,0.0,1,"[('169', 13.59037729978203), ('205', 12.116776323917515), ('833', 12.08327635676544), ('377', 11.999711097158496), ('940', 11.022438568164413), ('823', 9.773522809118283), ('488', 9.188469690626805), ('1', 9.06590115489586), ('14', 8.84027724978166), ('379', 8.792490404859565), ('28', 8.713827235105784), ('139', 8.574597470357526), ('724', 8.51966755233948), ('97', 8.462156489434069), ('996', 7.661929888895789), ('413', 7.225647541421318), ('795', 7.211268431590378), ('572', 7.2005164992092485), ('718', 7.142806442691165), ('411', 7.035244531642236), ('355', 6.930039628451628), ('576', 6.544305052127629), ('602', 6.538725842759315), ('537', 6.503223480652796), ('336', 6.441211479074348), ('601', 6.321999200602618), ('808', 6.226201437408471), ('628', 5.830492800035245), ('562', 5.817888809877916), ('739', 5.740480052750768), ('652', 5.552689883607771), ('474', 5.484976221342223), ('210', 5.431941575460658), ('519', 5.3358529052992205), ('236', 5.244404708373512), ('269', 5.214777117157695), ('811', 5.211966985836357), ('265', 5.045408039509127), ('146', 4.941315182100244), ('974', 4.853623093955543), ('227', 4.5223220432186055), ('897', 4.477489461816714), ('840', 4.3671733293872315), ('42', 4.3003364676077815), ('60', 4.1084833058712436), ('395', 4.032101355607567), ('680', 4.022865557186544), ('398', 3.9577056541888047), ('781', 3.956009031071789), ('590', 3.8840542852211306)]","[('169', 48.333333333333336), ('205', 47.333333333333336), ('833', 46.333333333333336), ('379', 46.0), ('377', 45.333333333333336), ('940', 44.333333333333336), ('823', 43.333333333333336), ('488', 42.333333333333336), ('1', 41.333333333333336), ('14', 40.333333333333336)]",0.9892325280648618,0.1,0.0
8,0.3125,0.34375,,,1.0,0.0,1,"[('578', 14.095606633475352), ('965', 14.090006282430293), ('34', 12.499942181038916), ('377', 10.882771367553516), ('258', 10.699263385006462), ('836', 10.103222737197965), ('980', 9.610124255343601), ('241', 9.428612341933162), ('634', 9.265017400433855), ('68', 8.451424577929407), ('418', 8.390992371578976), ('464', 8.382434231726778), ('89', 8.191877893725529), ('609', 8.138272967485314), ('743', 7.775617932601826), ('970', 7.494763872119651), ('388', 7.2549815398105), ('724', 7.038887439391456), ('835', 6.953859328181932), ('644', 6.682593771694617), ('28', 6.6349950891013885), ('355', 6.383327216375399), ('785', 5.918185961575142), ('537', 5.767324925674662), ('801', 5.671660203056352), ('663', 5.653995918294338), ('186', 5.636132711289026), ('843', 5.541861099163281), ('84', 5.4861224527072165), ('601', 5.465230700693993), ('562', 5.41704714170924), ('735', 5.416942415592994), ('576', 5.380890012302391), ('622', 5.215711856261201), ('704', 5.209232132358172), ('435', 4.849983597296188), ('927', 4.813068332056744), ('737', 4.719729454479547), ('744', 4.327098015393375), ('579', 4.27149975842088), ('199', 4.2479491506314835), ('941', 4.046493134639927), ('474', 3.9857520134774247), ('729', 3.975076771886316), ('328', 3.9001179405851034), ('443', 3.7388185039628143), ('262', 3.720791460031494), ('793', 3.7144338705376176), ('42', 3.6730492090253417), ('174', 3.336177830030097)]","[('578', 49.0), ('965', 48.0), ('34', 47.0), ('377', 46.0), ('258', 45.0), ('836', 44.0), ('980', 43.0), ('241', 42.0), ('634', 41.0), ('68', 40.0)]",1.0,0.0,0.1
