,Fairness Metric,Fairness Metric,Compatibility,Compatibility,Allocation,Allocation,Allocation,Results,Results,nDCG
,0,1,0,1,0,1,none,In,Out,All
0,1.0,1.0,0.5648888048685,0.46086132732827917,0.0,0.0,0,"[('563', 5.268833000145635), ('565', 5.051713018208948), ('20', 4.907856022321454), ('248', 4.844291278659272), ('99', 4.801840283590638), ('175', 4.187685134403657), ('967', 4.069294337499992), ('703', 3.9616944314848426), ('713', 3.8243379385557614), ('820', 3.3857681190260416)]","[('563', 9.0), ('565', 8.0), ('20', 7.0), ('248', 6.0), ('99', 5.0), ('175', 4.0), ('967', 3.0), ('703', 2.0), ('713', 1.0), ('820', 0.0)]",1.0
1,1.0,0.4,0.5844418441661215,0.46800071668681625,0.0,1.0,0,"[('952', 11.440296513622725), ('901', 10.615057937305277), ('761', 10.112979931060451), ('964', 9.675135755506878), ('930', 9.634285336165833), ('222', 9.217310533386254), ('932', 8.510611141083176), ('578', 8.371924747837996), ('415', 8.157392122240827), ('187', 7.9057906630756705)]","[('761', 9.0), ('578', 8.0), ('187', 7.0), ('952', 6.0), ('901', 5.0), ('964', 4.0), ('930', 3.0), ('222', 2.0), ('932', 1.0), ('415', 0.0)]",0.7488633541293647
2,0.7499999999999999,0.5,0.5592229881869771,0.44890631274303805,0.4369181801672546,0.5630818198327453,0,"[('660', 10.949496141990368), ('428', 10.046523955165407), ('791', 8.67531639511565), ('169', 7.90239038724484), ('907', 7.188137010852835), ('152', 7.0554435711439885), ('473', 6.234436370371026), ('634', 5.2696085935522525), ('480', 5.20880960230936), ('122', 5.20809279111931)]","[('660', 9.0), ('428', 8.0), ('791', 7.0), ('169', 6.0), ('907', 5.0), ('152', 4.0), ('473', 3.0), ('634', 2.0), ('480', 1.0), ('122', 0.0)]",1.0
3,0.6666666666666666,0.5333333333333333,0.5797747154908173,0.44972585598218723,0.5427778146714917,0.45722218532850833,0,"[('25', 9.173875088776747), ('647', 7.868435740757708), ('763', 6.627392062092138), ('318', 6.243045223095212), ('265', 6.076552752219922), ('350', 5.7899158832261515), ('177', 5.714023385191605), ('804', 5.6574860118860135), ('411', 5.641345806268197), ('9', 5.638086961876964)]","[('25', 9.0), ('647', 8.0), ('763', 7.0), ('318', 6.0), ('265', 5.0), ('350', 4.0), ('177', 3.0), ('804', 2.0), ('411', 1.0), ('9', 0.0)]",1.0
4,0.625,0.45,0.5747794134621663,0.4638750029497473,0.511435548726542,0.48856445127345804,0,"[('576', 6.302199147391847), ('193', 6.067459269039063), ('341', 5.619147061437559), ('830', 5.557916998666396), ('241', 5.359819174641744), ('423', 4.776575718591694), ('401', 4.580884290238942), ('917', 4.457350950543382), ('162', 4.382933674250095), ('965', 4.287401318030708)]","[('576', 9.0), ('193', 8.0), ('341', 7.0), ('830', 6.0), ('241', 5.0), ('423', 4.0), ('401', 3.0), ('917', 2.0), ('162', 1.0), ('965', 0.0)]",1.0
5,0.6,0.56,0.5691857017068127,0.4727873167342108,0.568519190229056,0.43148080977094394,0,"[('449', 11.244878143897045), ('446', 9.780082897063185), ('506', 9.705817105432045), ('739', 9.437104137230538), ('423', 9.328321056617597), ('379', 8.632315817574689), ('956', 7.340269324201769), ('323', 7.288122742992377), ('65', 7.252891564263457), ('382', 6.980259223851311)]","[('449', 9.0), ('446', 8.0), ('506', 7.0), ('739', 6.0), ('423', 5.0), ('379', 4.0), ('956', 3.0), ('323', 2.0), ('65', 1.0), ('382', 0.0)]",1.0
6,0.5833333333333333,0.4666666666666667,0.5979646976716778,0.4473408912938507,0.58262569388131,0.41737430611869,0,"[('927', 8.629887609513695), ('893', 8.0551018951026), ('540', 7.119344576079527), ('80', 7.071510272296423), ('111', 6.644271029736679), ('15', 6.061819557050594), ('559', 5.250330804181971), ('716', 4.991726138199408), ('149', 4.604421502481951), ('496', 4.564165365574246)]","[('927', 9.0), ('893', 8.0), ('540', 7.0), ('80', 6.0), ('111', 5.0), ('15', 4.0), ('559', 3.0), ('716', 2.0), ('149', 1.0), ('496', 0.0)]",1.0
7,0.6428571428571428,0.45714285714285713,0.5846862441506953,0.47092543053537866,0.5035101629508878,0.49648983704911226,0,"[('923', 15.924099228267224), ('247', 12.590020764349463), ('946', 9.582184485937303), ('810', 8.638996651841694), ('437', 7.761709264177207), ('979', 7.505951515038182), ('884', 7.1939884263326785), ('941', 7.161435264205863), ('293', 6.894500683462959), ('972', 6.855456773134084)]","[('923', 9.0), ('247', 8.0), ('946', 7.0), ('810', 6.0), ('437', 5.0), ('979', 4.0), ('884', 3.0), ('941', 2.0), ('293', 1.0), ('972', 0.0)]",1.0
8,0.625,0.575,0.5582850268058555,0.444281929777035,0.5821626044079214,0.41783739559207855,0,"[('577', 6.080723081127848), ('30', 5.656310631963067), ('181', 4.780410326812118), ('627', 4.7767898622414275), ('413', 4.592123723237712), ('537', 4.530137437764999), ('833', 4.459590370052295), ('584', 4.23688383274393), ('440', 4.134530135483606), ('907', 4.077018514450529)]","[('577', 9.0), ('30', 8.0), ('181', 7.0), ('627', 6.0), ('413', 5.0), ('537', 4.0), ('833', 3.0), ('584', 2.0), ('440', 1.0), ('907', 0.0)]",1.0
9,0.611111111111111,0.5555555555555556,0.6090249307407014,0.49105695317402265,0.573725311896268,0.4262746881037321,0,"[('705', 7.296704883120572), ('111', 6.873448168739284), ('764', 6.818997316865761), ('792', 6.762281120851945), ('799', 6.306611810844705), ('761', 6.03251039757585), ('752', 5.890728198995457), ('309', 5.316636592862985), ('934', 4.885261208677288), ('930', 4.828842305955692)]","[('705', 9.0), ('111', 8.0), ('764', 7.0), ('792', 6.0), ('799', 5.0), ('761', 4.0), ('752', 3.0), ('309', 2.0), ('934', 1.0), ('930', 0.0)]",1.0
10,0.5499999999999999,0.54,0.5431919447037994,0.4581837769119898,0.5789356990474969,0.4210643009525032,0,"[('350', 9.746712834930849), ('489', 9.233456200007106), ('345', 8.465664140239106), ('819', 7.727221879834479), ('307', 7.38470480726737), ('152', 7.315318126457432), ('474', 7.234673391879254), ('69', 7.072948316877855), ('230', 6.793304646054065), ('415', 6.788151968451053)]","[('350', 9.0), ('489', 8.0), ('345', 7.0), ('819', 6.0), ('307', 5.0), ('152', 4.0), ('474', 3.0), ('69', 2.0), ('230', 1.0), ('415', 0.0)]",1.0
11,0.5,0.5454545454545454,0.5684569465220822,0.48245742780378925,0.6042908065398389,0.39570919346016104,0,"[('307', 7.37997715329017), ('159', 6.41391252632468), ('554', 5.484460553009518), ('367', 5.364033913357912), ('398', 4.744520134129423), ('452', 4.728958929677755), ('785', 4.700087208220848), ('326', 4.543796170639654), ('19', 4.51343282506652), ('912', 4.512746677084387)]","[('307', 9.0), ('159', 8.0), ('554', 7.0), ('367', 6.0), ('398', 5.0), ('452', 4.0), ('785', 3.0), ('326', 2.0), ('19', 1.0), ('912', 0.0)]",1.0
12,0.45833333333333326,0.5166666666666667,0.565750089069889,0.47127993369207044,0.6175931068011612,0.3824068931988387,0,"[('435', 7.532747286930261), ('345', 7.266359860209678), ('554', 7.233845495005065), ('473', 7.19393844275724), ('652', 6.594226195679083), ('248', 6.553568240660342), ('544', 6.170926703644824), ('850', 5.503364450680531), ('998', 5.415786292456399), ('309', 5.302633400703279)]","[('435', 9.0), ('345', 8.0), ('554', 7.0), ('473', 6.0), ('652', 5.0), ('248', 4.0), ('544', 3.0), ('850', 2.0), ('998', 1.0), ('309', 0.0)]",1.0
13,0.46153846153846156,0.5230769230769231,0.5771194468368187,0.46209463366483977,0.6378211962654874,0.36217880373451256,0,"[('784', 9.943592397026693), ('336', 9.663001263414417), ('618', 8.780710582686883), ('28', 7.112041153669922), ('230', 7.037004061436466), ('299', 6.649559947919175), ('785', 6.4190983715291585), ('905', 6.143606884304641), ('582', 5.923666302071847), ('704', 5.603183204240114)]","[('784', 9.0), ('336', 8.0), ('618', 7.0), ('28', 6.0), ('230', 5.0), ('299', 4.0), ('785', 3.0), ('905', 2.0), ('582', 1.0), ('704', 0.0)]",1.0
