,Fairness Metric,Fairness Metric,Compatibility,Compatibility,Allocation,Allocation,Allocation,Results,Results,nDCG
,0,1,0,1,0,1,none,In,Out,All
0,1.0,1.0,,,0.0,0.0,1,"[('563', 5.268833000145635), ('565', 5.051713018208948), ('20', 4.907856022321454), ('248', 4.844291278659272), ('99', 4.801840283590638), ('175', 4.187685134403657), ('967', 4.069294337499992), ('703', 3.9616944314848426), ('713', 3.8243379385557614), ('820', 3.3857681190260416)]","[('563', 4.215066400116508), ('565', 4.041370414567158), ('20', 3.926284817857163), ('248', 3.8754330229274174), ('99', 3.841472226872511), ('175', 3.350148107522926), ('967', 3.2554354699999934), ('703', 3.1693555451878743), ('713', 3.0594703508446095), ('820', 2.7086144952208335)]",1.0
1,1.0,0.4,,,0.0,1.0,1,"[('952', 11.440296513622725), ('901', 10.615057937305277), ('761', 10.112979931060451), ('964', 9.675135755506878), ('930', 9.634285336165833), ('222', 9.217310533386254), ('932', 8.510611141083176), ('578', 8.371924747837996), ('415', 8.157392122240827), ('187', 7.9057906630756705)]","[('952', 9.15223721089818), ('901', 8.492046349844221), ('761', 8.19038394484836), ('964', 7.740108604405503), ('930', 7.7074282689326665), ('222', 7.373848426709003), ('932', 6.808488912866541), ('578', 6.797539798270397), ('415', 6.525913697792662), ('187', 6.424632530460537)]",1.0
2,0.7499999999999999,0.5,,,0.0,1.0,1,"[('660', 10.949496141990368), ('428', 10.046523955165407), ('791', 8.67531639511565), ('169', 7.90239038724484), ('907', 7.188137010852835), ('152', 7.0554435711439885), ('473', 6.234436370371026), ('634', 5.2696085935522525), ('480', 5.20880960230936), ('122', 5.20809279111931)]","[('660', 8.759596913592295), ('428', 8.037219164132326), ('791', 6.94025311609252), ('169', 6.421912309795872), ('907', 5.750509608682268), ('152', 5.744354856915191), ('473', 4.987549096296821), ('634', 4.315686874841802), ('480', 4.167047681847488), ('122', 4.166474232895449)]",1.0
3,0.6666666666666666,0.5333333333333333,,,0.0,1.0,1,"[('25', 9.173875088776747), ('647', 7.868435740757708), ('763', 6.627392062092138), ('318', 6.243045223095212), ('265', 6.076552752219922), ('350', 5.7899158832261515), ('177', 5.714023385191605), ('804', 5.6574860118860135), ('411', 5.641345806268197), ('9', 5.638086961876964)]","[('25', 7.339100071021398), ('647', 6.294748592606167), ('763', 5.301913649673711), ('318', 4.99443617847617), ('265', 4.861242201775938), ('350', 4.631932706580922), ('411', 4.613076645014558), ('177', 4.5712187081532845), ('804', 4.525988809508811), ('9', 4.510469569501572)]",0.9999405327640615
4,0.625,0.45,,,0.0,1.0,1,"[('576', 6.302199147391847), ('193', 6.067459269039063), ('341', 5.619147061437559), ('830', 5.557916998666396), ('241', 5.359819174641744), ('423', 4.776575718591694), ('401', 4.580884290238942), ('917', 4.457350950543382), ('162', 4.382933674250095), ('965', 4.287401318030708)]","[('576', 5.141759317913477), ('193', 4.853967415231251), ('830', 4.546333598933117), ('341', 4.4953176491500475), ('241', 4.287855339713395), ('423', 3.8212605748733552), ('401', 3.764707432191154), ('917', 3.6658807604347055), ('965', 3.5299210544245665), ('162', 3.5063469394000766)]",0.9992637395182561
5,0.6,0.56,,,0.0,1.0,1,"[('449', 11.244878143897045), ('446', 9.780082897063185), ('506', 9.705817105432045), ('739', 9.437104137230538), ('423', 9.328321056617597), ('379', 8.632315817574689), ('956', 7.340269324201769), ('323', 7.288122742992377), ('65', 7.252891564263457), ('382', 6.980259223851311)]","[('449', 8.995902515117637), ('446', 7.824066317650548), ('506', 7.764653684345636), ('739', 7.549683309784431), ('423', 7.462656845294077), ('379', 6.905852654059752), ('956', 5.872215459361415), ('323', 5.830498194393902), ('65', 5.802313251410766), ('382', 5.584207379081049)]",1.0
6,0.5833333333333333,0.4666666666666667,,,0.0,1.0,1,"[('927', 8.629887609513695), ('893', 8.0551018951026), ('540', 7.119344576079527), ('80', 7.071510272296423), ('111', 6.644271029736679), ('15', 6.061819557050594), ('559', 5.250330804181971), ('716', 4.991726138199408), ('149', 4.604421502481951), ('496', 4.564165365574246)]","[('927', 7.003910087610956), ('893', 6.444081516082081), ('540', 5.695475660863622), ('80', 5.657208217837138), ('111', 5.315416823789343), ('15', 4.849455645640475), ('559', 4.300264643345576), ('716', 3.9933809105595266), ('149', 3.6835372019855606), ('496', 3.6513322924593967)]",1.0
7,0.6428571428571428,0.45714285714285713,,,0.0,1.0,1,"[('923', 15.924099228267224), ('247', 12.590020764349463), ('946', 9.582184485937303), ('810', 8.638996651841694), ('437', 7.761709264177207), ('979', 7.505951515038182), ('884', 7.1939884263326785), ('941', 7.161435264205863), ('293', 6.894500683462959), ('972', 6.855456773134084)]","[('923', 12.83927938261378), ('247', 10.17201661147957), ('946', 7.765747588749842), ('810', 7.011197321473356), ('437', 6.309367411341766), ('979', 6.004761212030546), ('884', 5.755190741066143), ('941', 5.729148211364691), ('293', 5.615600546770367), ('972', 5.584365418507267)]",1.0
8,0.625,0.575,,,0.0,1.0,1,"[('577', 6.080723081127848), ('30', 5.656310631963067), ('181', 4.780410326812118), ('627', 4.7767898622414275), ('413', 4.592123723237712), ('537', 4.530137437764999), ('833', 4.459590370052295), ('584', 4.23688383274393), ('440', 4.134530135483606), ('907', 4.077018514450529)]","[('577', 4.864578464902279), ('30', 4.525048505570454), ('181', 3.8243282614496943), ('627', 3.8214318897931423), ('537', 3.7241099502119996), ('413', 3.67369897859017), ('833', 3.5676722960418363), ('440', 3.4076241083868855), ('584', 3.3895070661951445), ('907', 3.2616148115604235)]",0.9996921281245938
9,0.611111111111111,0.5555555555555556,,,0.0,1.0,1,"[('705', 7.296704883120572), ('111', 6.873448168739284), ('764', 6.818997316865761), ('792', 6.762281120851945), ('799', 6.306611810844705), ('761', 6.03251039757585), ('752', 5.890728198995457), ('309', 5.316636592862985), ('934', 4.885261208677288), ('930', 4.828842305955692)]","[('705', 5.837363906496458), ('111', 5.498758534991428), ('764', 5.455197853492609), ('792', 5.409824896681556), ('799', 5.145289448675764), ('761', 4.9260083180606795), ('752', 4.712582559196366), ('309', 4.253309274290388), ('934', 3.9082089669418303), ('930', 3.8630738447645534)]",1.0
10,0.5499999999999999,0.54,,,0.0,1.0,1,"[('350', 9.746712834930849), ('489', 9.233456200007106), ('345', 8.465664140239106), ('819', 7.727221879834479), ('307', 7.38470480726737), ('152', 7.315318126457432), ('474', 7.234673391879254), ('69', 7.072948316877855), ('230', 6.793304646054065), ('415', 6.788151968451053)]","[('350', 7.797370267944679), ('489', 7.386764960005685), ('345', 6.872531312191285), ('819', 6.1817775038675835), ('152', 5.952254501165945), ('307', 5.907763845813896), ('474', 5.787738713503404), ('69', 5.758358653502284), ('230', 5.434643716843253), ('415', 5.430521574760842)]",0.9998650307627428
11,0.5,0.5454545454545454,,,1.0,0.0,1,"[('307', 7.37997715329017), ('159', 6.41391252632468), ('554', 5.484460553009518), ('367', 5.364033913357912), ('398', 4.744520134129423), ('452', 4.728958929677755), ('785', 4.700087208220848), ('326', 4.543796170639654), ('19', 4.51343282506652), ('912', 4.512746677084387)]","[('307', 5.903981722632136), ('159', 5.131130021059744), ('554', 4.3875684424076145), ('367', 4.291227130686329), ('398', 3.7956161073035384), ('452', 3.783167143742204), ('785', 3.7600697665766782), ('326', 3.635036936511723), ('19', 3.610746260053216), ('912', 3.6101973416675097)]",1.0
12,0.45833333333333326,0.5166666666666667,,,1.0,0.0,1,"[('435', 7.532747286930261), ('345', 7.266359860209678), ('554', 7.233845495005065), ('473', 7.19393844275724), ('652', 6.594226195679083), ('248', 6.553568240660342), ('544', 6.170926703644824), ('850', 5.503364450680531), ('998', 5.415786292456399), ('309', 5.302633400703279)]","[('435', 6.026197829544209), ('345', 5.813087888167743), ('554', 5.7870763960040525), ('473', 5.7551507542057925), ('652', 5.375380956543266), ('248', 5.242854592528274), ('544', 4.93674136291586), ('850', 4.402691560544425), ('998', 4.3326290339651194), ('309', 4.2421067205626235)]",1.0
13,0.46153846153846156,0.5230769230769231,,,1.0,0.0,1,"[('784', 9.943592397026693), ('336', 9.663001263414417), ('618', 8.780710582686883), ('28', 7.112041153669922), ('230', 7.037004061436466), ('299', 6.649559947919175), ('785', 6.4190983715291585), ('905', 6.143606884304641), ('582', 5.923666302071847), ('704', 5.603183204240114)]","[('784', 7.954873917621355), ('336', 7.7304010107315335), ('618', 7.024568466149507), ('28', 5.689632922935938), ('230', 5.629603249149174), ('299', 5.319647958335341), ('785', 5.1352786972233275), ('905', 4.914885507443714), ('582', 4.738933041657478), ('704', 4.482546563392091)]",1.0
14,0.42857142857142855,0.5,,,1.0,0.0,1,"[('860', 7.968894984701959), ('819', 6.920991987923848), ('867', 6.900465104367833), ('350', 6.652035600062732), ('137', 6.222641238008367), ('162', 6.056052059807649), ('470', 5.8959983411778385), ('176', 5.717200843915166), ('25', 5.466740044701873), ('127', 5.3562359315923205)]","[('860', 6.375115987761568), ('819', 5.536793590339079), ('867', 5.520372083494267), ('350', 5.321628480050186), ('137', 4.978112990406694), ('162', 4.84484164784612), ('470', 4.716798672942271), ('176', 4.573760675132133), ('127', 4.384988745273856), ('25', 4.373392035761499)]",0.9999277051120619
15,0.43333333333333335,0.4666666666666667,,,1.0,0.0,1,"[('350', 6.826679161165095), ('373', 5.922337235827666), ('153', 5.837928986494384), ('414', 5.7576186702830965), ('764', 5.593035174911701), ('191', 5.459512830031507), ('140', 5.301588316621331), ('232', 4.916666281755057), ('344', 4.4762549962074605), ('172', 4.4002443662042685)]","[('350', 5.4613433289320765), ('373', 4.737869788662133), ('153', 4.670343189195507), ('414', 4.606094936226477), ('764', 4.474428139929361), ('191', 4.367610264025205), ('140', 4.2412706532970645), ('232', 3.9333330254040457), ('344', 3.5810039969659684), ('172', 3.520195492963415)]",1.0
16,0.40625,0.4625,,,1.0,0.0,1,"[('230', 8.508376334722964), ('602', 8.187890194637454), ('679', 8.050528214155113), ('202', 7.250401794915673), ('428', 6.970093191760257), ('572', 6.914621779932851), ('529', 6.540074860457317), ('628', 6.0126897302322595), ('240', 5.902377603243859), ('563', 5.864655181009425)]","[('230', 6.806701067778372), ('602', 6.650312155709964), ('679', 6.440422571324091), ('202', 5.800321435932538), ('428', 5.576074553408206), ('572', 5.531697423946281), ('529', 5.232059888365853), ('628', 4.810151784185808), ('240', 4.721902082595087), ('563', 4.69172414480754)]",1.0
17,0.4117647058823529,0.47058823529411764,,,1.0,0.0,1,"[('399', 7.894737480449539), ('810', 7.572210825812016), ('204', 7.276434256694213), ('738', 6.9363623186517405), ('677', 6.578488868395672), ('228', 6.457789038017447), ('133', 6.185358654715503), ('725', 5.831626453052497), ('729', 5.715920346192), ('906', 5.711450680824482)]","[('399', 6.315789984359632), ('810', 6.0577686606496135), ('204', 5.8211474053553705), ('738', 5.549089854921393), ('677', 5.262791094716538), ('228', 5.166231230413958), ('133', 4.948286923772403), ('725', 4.665301162441998), ('729', 4.5727362769536), ('906', 4.569160544659586)]",1.0
18,0.3888888888888889,0.4888888888888889,,,1.0,0.0,1,"[('160', 7.526215169653799), ('149', 6.785245279293469), ('312', 6.463915792281663), ('900', 5.9581725932604055), ('800', 5.916922107573802), ('862', 5.643291293102043), ('671', 5.269631252649397), ('848', 5.116148563085751), ('475', 4.9586390913605705), ('731', 4.886761131220627)]","[('160', 6.0209721357230395), ('149', 5.428196223434775), ('312', 5.27113263382533), ('900', 4.766538074608325), ('800', 4.733537686059042), ('862', 4.514633034481634), ('671', 4.215705002119518), ('848', 4.092918850468601), ('475', 3.9669112730884564), ('731', 3.9094089049765017)]",1.0
