,Fairness Metric,Fairness Metric,Compatibility,Compatibility,Allocation,Allocation,Allocation,Results,Results,nDCG
,0,1,0,1,0,1,none,In,Out,All
0,1.0,1.0,0.5648888048685,0.46086132732827917,0.0,0.0,0,"[('563', 5.268833000145635), ('565', 5.051713018208948), ('20', 4.907856022321454), ('248', 4.844291278659272), ('99', 4.801840283590638), ('175', 4.187685134403657), ('967', 4.069294337499992), ('703', 3.9616944314848426), ('713', 3.8243379385557614), ('820', 3.3857681190260416)]","[('563', 9.0), ('565', 8.0), ('20', 7.0), ('248', 6.0), ('99', 5.0), ('175', 4.0), ('967', 3.0), ('703', 2.0), ('713', 1.0), ('820', 0.0)]",1.0
1,1.0,0.4,0.5844418441661215,0.46800071668681625,0.0,1.0,0,"[('952', 11.440296513622725), ('901', 10.615057937305277), ('761', 10.112979931060451), ('964', 9.675135755506878), ('930', 9.634285336165833), ('222', 9.217310533386254), ('932', 8.510611141083176), ('578', 8.371924747837996), ('415', 8.157392122240827), ('187', 7.9057906630756705)]","[('761', 7.555555555555555), ('952', 5.666666666666667), ('578', 5.333333333333333), ('901', 5.222222222222222), ('187', 4.444444444444445), ('964', 4.333333333333333), ('930', 3.888888888888889), ('222', 3.4444444444444446), ('932', 3.0), ('415', 2.111111111111111)]",0.8484424856460968
2,0.7499999999999999,0.5,0.5592229881869771,0.44890631274303805,0.4369181801672546,0.5630818198327453,0,"[('660', 10.949496141990368), ('428', 10.046523955165407), ('791', 8.67531639511565), ('169', 7.90239038724484), ('907', 7.188137010852835), ('152', 7.0554435711439885), ('473', 6.234436370371026), ('634', 5.2696085935522525), ('480', 5.20880960230936), ('122', 5.20809279111931)]","[('169', 6.140181821850545), ('660', 5.909398988981808), ('428', 5.464954544537364), ('907', 5.345282822779738), ('152', 5.251292932961657), ('791', 5.0205101000929195), ('634', 4.362404044072767), ('473', 3.2427323223151414), ('480', 2.3538434334262526), ('122', 1.9093989889818082)]",0.7488950838104226
3,0.6666666666666666,0.5333333333333333,0.5797747154908173,0.44972585598218723,0.5427778146714917,0.45722218532850833,0,"[('25', 9.173875088776747), ('647', 7.868435740757708), ('763', 6.627392062092138), ('318', 6.243045223095212), ('265', 6.076552752219922), ('350', 5.7899158832261515), ('177', 5.714023385191605), ('804', 5.6574860118860135), ('411', 5.641345806268197), ('9', 5.638086961876964)]","[('25', 6.222222222222222), ('647', 5.777777777777778), ('763', 5.333333333333333), ('177', 5.06327170742081), ('318', 4.888888888888889), ('265', 4.444444444444445), ('350', 4.0), ('411', 3.9367282925791898), ('804', 3.111111111111111), ('9', 2.2222222222222223)]",0.9982973033699326
4,0.625,0.45,0.5747794134621663,0.4638750029497473,0.511435548726542,0.48856445127345804,0,"[('576', 6.302199147391847), ('193', 6.067459269039063), ('341', 5.619147061437559), ('830', 5.557916998666396), ('241', 5.359819174641744), ('423', 4.776575718591694), ('401', 4.580884290238942), ('917', 4.457350950543382), ('162', 4.382933674250095), ('965', 4.287401318030708)]","[('576', 7.036496307677986), ('830', 5.703162974344652), ('917', 5.346039498585046), ('193', 5.234928387473936), ('341', 4.790483943029491), ('401', 4.369829641011319), ('241', 3.901595054140602), ('423', 3.457150609696158), ('965', 3.036496307677986), ('162', 2.1238172763628245)]",0.961283319663456
5,0.6,0.56,0.5691857017068127,0.4727873167342108,0.568519190229056,0.43148080977094394,0,"[('449', 11.244878143897045), ('446', 9.780082897063185), ('506', 9.705817105432045), ('739', 9.437104137230538), ('423', 9.328321056617597), ('379', 8.632315817574689), ('956', 7.340269324201769), ('323', 7.288122742992377), ('65', 7.252891564263457), ('382', 6.980259223851311)]","[('449', 7.9212979755726405), ('446', 5.897633558269707), ('506', 5.453189113825262), ('739', 5.0087446693808175), ('423', 4.564300224936374), ('379', 4.119855780491929), ('956', 3.6754113360474845), ('323', 3.23096689160304), ('65', 2.7865224471585957), ('382', 2.342078002714151)]",1.0
6,0.5833333333333333,0.4666666666666667,0.5979646976716778,0.4473408912938507,0.58262569388131,0.41737430611869,0,"[('927', 8.629887609513695), ('893', 8.0551018951026), ('540', 7.119344576079527), ('80', 7.071510272296423), ('111', 6.644271029736679), ('15', 6.061819557050594), ('559', 5.250330804181971), ('716', 4.991726138199408), ('149', 4.604421502481951), ('496', 4.564165365574246)]","[('893', 7.118404705225861), ('927', 7.1038175169963615), ('15', 5.340626927448083), ('540', 5.055555555555555), ('80', 4.611111111111111), ('559', 4.437150850329695), ('111', 4.166666666666667), ('716', 2.8333333333333335), ('149', 2.388888888888889), ('496', 1.9444444444444444)]",0.9256511817904085
7,0.6428571428571428,0.45714285714285713,0.5846862441506953,0.47092543053537866,0.5035101629508878,0.49648983704911226,0,"[('923', 15.924099228267224), ('247', 12.590020764349463), ('946', 9.582184485937303), ('810', 8.638996651841694), ('437', 7.761709264177207), ('979', 7.505951515038182), ('884', 7.1939884263326785), ('941', 7.161435264205863), ('293', 6.894500683462959), ('972', 6.855456773134084)]","[('946', 7.283628049362591), ('923', 6.773877596721236), ('247', 6.329433152276791), ('810', 5.440544263387903), ('437', 4.996099818943458), ('293', 3.2183220411656803), ('979', 3.1725169382514795), ('972', 2.7738775967212357), ('884', 2.7280724938070353), ('941', 2.2836280493625907)]",0.6507555396287842
8,0.625,0.575,0.5582850268058555,0.444281929777035,0.5821626044079214,0.41783739559207855,0,"[('577', 6.080723081127848), ('30', 5.656310631963067), ('181', 4.780410326812118), ('627', 4.7767898622414275), ('413', 4.592123723237712), ('537', 4.530137437764999), ('833', 4.459590370052295), ('584', 4.23688383274393), ('440', 4.134530135483606), ('907', 4.077018514450529)]","[('577', 6.1061562790022), ('30', 5.661711834557756), ('181', 5.217267390113312), ('537', 5.044593488980197), ('627', 4.772822945668867), ('413', 4.328378501224423), ('907', 3.72327462457976), ('440', 3.711260155646863), ('833', 3.439489612335534), ('584', 2.995045167891089)]",0.9973517281863027
9,0.611111111111111,0.5555555555555556,0.6090249307407014,0.49105695317402265,0.573725311896268,0.4262746881037321,0,"[('705', 7.296704883120572), ('111', 6.873448168739284), ('764', 6.818997316865761), ('792', 6.762281120851945), ('799', 6.306611810844705), ('761', 6.03251039757585), ('752', 5.890728198995457), ('309', 5.316636592862985), ('934', 4.885261208677288), ('930', 4.828842305955692)]","[('705', 6.2631807288312595), ('111', 5.818736284386816), ('799', 5.669499306897182), ('764', 5.374291839942371), ('761', 5.225054862452738), ('792', 4.9298473954979265), ('752', 3.5965140621645935), ('309', 3.152069617720149), ('934', 2.7076251732757046), ('930', 2.26318072883126)]",0.9885775673694389
10,0.5499999999999999,0.54,0.5431919447037994,0.4581837769119898,0.5789356990474969,0.4210643009525032,0,"[('350', 9.746712834930849), ('489', 9.233456200007106), ('345', 8.465664140239106), ('819', 7.727221879834479), ('307', 7.38470480726737), ('152', 7.315318126457432), ('474', 7.234673391879254), ('69', 7.072948316877855), ('230', 6.793304646054065), ('415', 6.788151968451053)]","[('345', 6.429847251852089), ('350', 6.14911308253958), ('489', 5.704668638095137), ('152', 5.096513918518756), ('819', 4.815779749206247), ('307', 4.371335304761803), ('69', 4.207625029629868), ('474', 3.4824464158729143), ('230', 2.5935575269840254), ('415', 2.1491130825395808)]",0.8754292784813243
11,0.5,0.5454545454545454,0.5684569465220822,0.48245742780378925,0.6042908065398389,0.39570919346016104,0,"[('307', 7.37997715329017), ('159', 6.41391252632468), ('554', 5.484460553009518), ('367', 5.364033913357912), ('398', 4.744520134129423), ('452', 4.728958929677755), ('785', 4.700087208220848), ('326', 4.543796170639654), ('19', 4.51343282506652), ('912', 4.512746677084387)]","[('307', 6.3900807795944), ('159', 5.945636335149955), ('398', 5.711495205872625), ('554', 5.501191890705511), ('367', 5.056747446261066), ('452', 4.167858557372178), ('785', 3.723414112927733), ('326', 3.2789696684832887), ('19', 2.834525224038844), ('912', 2.3900807795943995)]",0.993856433553799
